"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\dto\update-tipocolegio.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\entities\tipocolegio.entity.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 9, 31
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\tipocolegios.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\tipocolegios.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\tipocolegios\tipocolegios.service.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 2, 56, 143
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\dto\create-turno.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\dto\update-turno.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\entities\turno.entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 7, 31
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\turnos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\turnos.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\turnos\turnos.service.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 2, 57, 144
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\dto\create-unidadeseducativa.dto.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 32, 122
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\dto\update-unidadeseducativa.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 3, 7
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\entities\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\entities\unidadeducativa-foto.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 6, 21
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\entities\unidadeseducativa.entity.ts", "TypeScript", 0, 0, 0, 180, 0, 0, 10, 60, 250
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\unidadeseducativas.controller.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 3, 9, 50
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\unidadeseducativas.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 7, 23
"e:\Fernando Herrera\Nest\distritosiete\src\unidadeseducativas\unidadeseducativas.service.ts", "TypeScript", 0, 0, 0, 126, 0, 0, 1, 59, 186
"e:\Fernando Herrera\Nest\distritosiete\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 5, 25
"e:\Fernando Herrera\Nest\distritosiete\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\Fernando Herrera\Nest\distritosiete\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\Fernando Herrera\Nest\distritosiete\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 25, 21, 10890, 4923, 52, 13, 74, 1892, 17890
